FrameNumbers,Laser_ID,Points_X,Points_Y,Points_Z,Azimuth,Distance,Intensity,Distance_2,Intensity_2,
1,13,-0.49398,-4.96256,-0.259586,185.828,4.96,4,0,0,
1,31,-0.647003,-6.39955,1.71442,185.884,6.624,22,0,0,
1,10,-0.516437,-5.08376,-0.533513,185.941,5.104,36,0,0,
1,11,-0.509798,-5.00089,-0.436825,185.963,5.012,4,0,0,
1,12,-0.510397,-4.98768,-0.348224,185.986,4.992,4,0,0,
1,13,-0.509149,-4.95701,-0.259377,186.008,4.956,4,0,0,
1,31,-0.667104,-6.39749,1.71442,186.064,6.624,23,0,0,
1,11,-0.525507,-4.99927,-0.436825,186.143,5.012,4,0,0,
1,12,-0.526065,-4.98605,-0.348224,186.166,4.992,4,0,0,
1,13,-0.525151,-4.95936,-0.259586,186.188,4.96,4,0,0,
1,31,-0.68762,-6.3992,1.71545,186.244,6.628,23,0,0,
1,11,-0.54077,-4.99363,-0.436476,186.323,5.008,4,0,0,
1,12,-0.541726,-4.98437,-0.348224,186.346,4.992,4,0,0,
1,13,-0.539842,-4.94975,-0.259168,186.368,4.952,4,0,0,
1,31,-0.70772,-6.39701,1.71545,186.424,6.628,24,0,0,
1,11,-0.556907,-4.99587,-0.436825,186.503,5.012,4,0,0,
1,12,-0.557381,-4.98265,-0.348224,186.526,4.992,4,0,0,
1,13,-0.555845,-4.95199,-0.259377,186.548,4.956,4,0,0,
1,31,-0.728258,-6.39859,1.71649,186.604,6.632,23,0,0,
1,11,-0.57399,-5.00597,-0.43787,186.683,5.024,4,0,0,
1,12,-0.573498,-4.98483,-0.348503,186.706,4.996,4,0,0,
1,13,-0.570931,-4.94626,-0.259168,186.728,4.952,4,0,0,
1,31,-0.749725,-6.40778,1.71959,186.784,6.644,23,0,0,
1,11,-0.58781,-4.98831,-0.436476,186.863,5.008,4,0,0,
1,12,-0.588677,-4.97904,-0.348224,186.886,4.992,4,0,0,
1,13,-0.585987,-4.94047,-0.258958,186.908,4.948,4,0,0,
1,31,-0.768916,-6.39772,1.71752,186.964,6.636,22,0,0,
