Flag,Azimuth,Channel,Distance,Intensity,Vertical_Angle,Horizontal_Angle,Points_X,Points_Y,Points_Z
ffee,356.1,0,2.212,3,-16,356.1,-0.145,2.121,-0.61
ffee,356.1,1,1.976,4,-8,356.1,-0.133,1.952,-0.275
ffee,356.1,2,2.736,16,0,356.1,-0.186,2.73,0.0
ffee,356.1,3,7.5,81,8,356.1,-0.505,7.41,1.044
ffee,356.1,4,2.036,75,-15,356.1,-0.134,1.962,-0.527
ffee,356.1,5,1.964,4,-7,356.1,-0.133,1.945,-0.239
ffee,356.1,6,2.732,13,1,356.1,-0.186,2.725,0.048
ffee,356.1,7,7.516,82,9,356.1,-0.505,7.406,1.176
ffee,356.1,8,2.044,75,-14,356.1,-0.135,1.979,-0.494
ffee,356.1,9,1.96,3,-6,356.1,-0.133,1.945,-0.205
ffee,356.1,10,2.988,40,2,356.1,-0.203,2.979,0.104
ffee,356.1,11,7.536,81,10,356.1,-0.505,7.404,1.309
ffee,356.1,12,2.072,51,-13,356.1,-0.137,2.014,-0.466
ffee,356.1,13,1.952,11,-5,356.1,-0.132,1.94,-0.17
ffee,356.1,14,2.984,40,3,356.1,-0.203,2.973,0.156
ffee,356.1,15,7.552,81,11,356.1,-0.504,7.396,1.441
ffee,356.1,16,1.968,4,-12,356.1,-0.131,1.921,-0.409
ffee,356.1,17,2.648,31,-4,356.1,-0.18,2.635,-0.185
ffee,356.1,18,2.996,42,4,356.1,-0.203,2.982,0.209
ffee,356.1,19,7.384,76,12,356.1,-0.491,7.206,1.535
ffee,356.1,20,1.952,3,-11,356.1,-0.13,1.912,-0.372
ffee,356.1,21,2.688,19,-3,356.1,-0.183,2.678,-0.141
ffee,356.1,22,2.992,38,5,356.1,-0.203,2.974,0.261
ffee,356.1,23,7.368,76,13,356.1,-0.488,7.163,1.657
ffee,356.1,24,1.98,3,-10,356.1,-0.133,1.945,-0.344
ffee,356.1,25,2.708,15,-2,356.1,-0.184,2.7,-0.095
ffee,356.1,26,7.452,81,6,356.1,-0.504,7.394,0.779
ffee,356.1,27,7.376,75,14,356.1,-0.487,7.14,1.784
ffee,356.1,28,1.976,3,-9,356.1,-0.133,1.947,-0.309
ffee,356.1,29,2.728,15,-1,356.1,-0.186,2.721,-0.048
ffee,356.1,30,7.468,80,7,356.1,-0.504,7.395,0.91
ffee,356.1,31,7.228,23,15,356.1,-0.475,6.966,1.871
ffee,356.28,0,2.212,4,-16,356.28,-0.138,2.122,-0.61
ffee,356.28,1,1.984,3,-8,356.28,-0.127,1.961,-0.276
ffee,356.28,2,2.756,16,0,356.28,-0.179,2.75,0.0
ffee,356.28,3,7.484,81,8,356.28,-0.481,7.396,1.042
ffee,356.28,4,2.036,75,-15,356.28,-0.128,1.962,-0.527
ffee,356.28,5,1.952,4,-7,356.28,-0.126,1.933,-0.238
ffee,356.28,6,2.748,12,1,356.28,-0.178,2.742,0.048
ffee,356.28,7,7.504,82,9,356.28,-0.481,7.396,1.174
ffee,356.28,8,2.04,76,-14,356.28,-0.128,1.975,-0.494
ffee,356.28,9,1.968,4,-6,356.28,-0.127,1.953,-0.206
ffee,356.28,10,3.004,33,2,356.28,-0.195,2.996,0.105
ffee,356.28,11,7.524,81,10,356.28,-0.481,7.394,1.307
ffee,356.28,12,2.084,70,-13,356.28,-0.132,2.026,-0.469
ffee,356.28,13,0.0,0,-5,356.28,-0.0,0.0,-0.0
ffee,356.28,14,3.016,41,3,356.28,-0.195,3.006,0.158
ffee,356.28,15,7.544,81,11,356.28,-0.48,7.39,1.439
ffee,356.28,16,1.984,4,-12,356.28,-0.126,1.937,-0.412
ffee,356.28,17,2.684,25,-4,356.28,-0.174,2.672,-0.187
ffee,356.28,18,3.008,43,4,356.28,-0.195,2.994,0.21
ffee,356.28,19,7.372,76,12,356.28,-0.468,7.196,1.533
ffee,356.28,20,1.944,3,-11,356.28,-0.124,1.904,-0.371
ffee,356.28,21,2.708,17,-3,356.28,-0.175,2.699,-0.142
ffee,356.28,22,3.008,39,5,356.28,-0.194,2.99,0.262
ffee,356.28,23,7.356,76,13,356.28,-0.465,7.152,1.655
ffee,356.28,24,1.984,4,-10,356.28,-0.127,1.95,-0.345
ffee,356.28,25,2.724,19,-2,356.28,-0.177,2.717,-0.095
ffee,356.28,26,7.452,81,6,356.28,-0.481,7.396,0.779
ffee,356.28,27,7.368,76,14,356.28,-0.464,7.134,1.782
ffee,356.28,28,1.96,3,-9,356.28,-0.126,1.932,-0.307
ffee,356.28,29,2.748,14,-1,356.28,-0.178,2.742,-0.048
ffee,356.28,30,7.46,81,7,356.28,-0.48,7.389,0.909
ffee,356.28,31,7.224,23,15,356.28,-0.453,6.963,1.87
ffee,356.46,0,2.212,3,-16,356.46,-0.131,2.122,-0.61
ffee,356.46,1,1.968,4,-8,356.46,-0.12,1.945,-0.274
ffee,356.46,2,2.772,14,0,356.46,-0.171,2.767,0.0
ffee,356.46,3,7.48,81,8,356.46,-0.457,7.393,1.041
ffee,356.46,4,2.032,75,-15,356.46,-0.121,1.959,-0.526
ffee,356.46,5,1.952,4,-7,356.46,-0.12,1.934,-0.238
ffee,356.46,6,2.788,12,1,356.46,-0.172,2.782,0.049
ffee,356.46,7,7.492,82,9,356.46,-0.457,7.386,1.172
ffee,356.46,8,2.036,76,-14,356.46,-0.122,1.972,-0.493
ffee,356.46,9,1.968,4,-6,356.46,-0.121,1.953,-0.206
ffee,356.46,10,3.012,35,2,356.46,-0.186,3.004,0.105
ffee,356.46,11,7.52,82,10,356.46,-0.457,7.392,1.306
ffee,356.46,12,2.096,71,-13,356.46,-0.126,2.038,-0.471
ffee,356.46,13,0.0,0,-5,356.46,-0.0,0.0,-0.0
ffee,356.46,14,3.028,40,3,356.46,-0.187,3.018,0.158
ffee,356.46,15,7.528,81,11,356.46,-0.456,7.376,1.436
ffee,356.46,16,0.0,0,-12,356.46,-0.0,0.0,-0.0
ffee,356.46,17,2.708,17,-4,356.46,-0.167,2.696,-0.189
ffee,356.46,18,3.032,41,4,356.46,-0.187,3.019,0.212
ffee,356.46,19,7.36,76,12,356.46,-0.445,7.185,1.53
ffee,356.46,20,1.968,4,-11,356.46,-0.119,1.928,-0.376
ffee,356.46,21,2.72,19,-3,356.46,-0.168,2.711,-0.142
ffee,356.46,22,3.036,38,5,356.46,-0.187,3.019,0.265
ffee,356.46,23,7.348,76,13,356.46,-0.442,7.146,1.653
ffee,356.46,24,1.968,7,-10,356.46,-0.12,1.934,-0.342
ffee,356.46,25,2.736,16,-2,356.46,-0.169,2.729,-0.095
ffee,356.46,26,7.436,81,6,356.46,-0.457,7.381,0.777
ffee,356.46,27,7.352,75,14,356.46,-0.44,7.12,1.779
ffee,356.46,28,1.948,3,-9,356.46,-0.119,1.92,-0.305
ffee,356.46,29,2.752,14,-1,356.46,-0.17,2.746,-0.048
ffee,356.46,30,7.448,80,7,356.46,-0.456,7.378,0.908
ffee,356.46,31,7.216,24,15,356.46,-0.43,6.957,1.868
ffee,356.64,0,2.22,3,-16,356.64,-0.125,2.13,-0.612
ffee,356.64,1,1.956,4,-8,356.64,-0.114,1.934,-0.272
ffee,356.64,2,2.792,14,0,356.64,-0.164,2.787,0.0
ffee,356.64,3,7.468,82,8,356.64,-0.433,7.383,1.039
ffee,356.64,4,2.04,74,-15,356.64,-0.115,1.967,-0.528
ffee,356.64,5,1.956,4,-7,356.64,-0.114,1.938,-0.238
ffee,356.64,6,2.824,12,1,356.64,-0.165,2.819,0.049
ffee,356.64,7,7.484,82,9,356.64,-0.433,7.379,1.171
ffee,356.64,8,2.04,76,-14,356.64,-0.116,1.976,-0.494
ffee,356.64,9,0.0,0,-6,356.64,-0.0,0.0,-0.0
ffee,356.64,10,3.028,41,2,356.64,-0.177,3.021,0.106
ffee,356.64,11,7.508,81,10,356.64,-0.433,7.381,1.304
ffee,356.64,12,2.088,69,-13,356.64,-0.119,2.031,-0.47
ffee,356.64,13,2.428,56,-5,356.64,-0.142,2.415,-0.212
ffee,356.64,14,3.06,41,3,356.64,-0.179,3.051,0.16
ffee,356.64,15,7.52,81,11,356.64,-0.433,7.369,1.435
ffee,356.64,16,2.26,46,-12,356.64,-0.13,2.207,-0.47
ffee,356.64,17,2.732,15,-4,356.64,-0.16,2.721,-0.191
ffee,356.64,18,3.06,42,4,356.64,-0.179,3.047,0.213
ffee,356.64,19,7.36,75,12,356.64,-0.422,7.187,1.53
ffee,356.64,20,1.976,4,-11,356.64,-0.114,1.936,-0.377
ffee,356.64,21,2.728,18,-3,356.64,-0.16,2.72,-0.143
ffee,356.64,22,3.06,37,5,356.64,-0.179,3.043,0.267
ffee,356.64,23,7.336,76,13,356.64,-0.419,7.136,1.65
ffee,356.64,24,1.984,4,-10,356.64,-0.115,1.95,-0.345
ffee,356.64,25,2.756,16,-2,356.64,-0.161,2.75,-0.096
ffee,356.64,26,7.432,80,6,356.64,-0.433,7.379,0.777
ffee,356.64,27,7.348,75,14,356.64,-0.418,7.117,1.778
ffee,356.64,28,1.964,4,-9,356.64,-0.114,1.936,-0.307
ffee,356.64,29,2.772,14,-1,356.64,-0.162,2.767,-0.048
ffee,356.64,30,7.44,81,7,356.64,-0.433,7.372,0.907
ffee,356.64,31,7.22,23,15,356.64,-0.409,6.962,1.869
ffee,356.83,0,2.216,3,-16,356.83,-0.118,2.127,-0.611
ffee,356.83,1,1.968,4,-8,356.83,-0.108,1.946,-0.274
ffee,356.83,2,2.768,14,0,356.83,-0.153,2.764,0.0
ffee,356.83,3,7.46,81,8,356.83,-0.409,7.376,1.038
ffee,356.83,4,2.036,75,-15,356.83,-0.109,1.964,-0.527
ffee,356.83,5,1.968,4,-7,356.83,-0.108,1.95,-0.24
ffee,356.83,6,2.844,12,1,356.83,-0.157,2.839,0.05
ffee,356.83,7,7.472,82,9,356.83,-0.408,7.369,1.169
ffee,356.83,8,2.036,76,-14,356.83,-0.109,1.972,-0.493
ffee,356.83,9,2.44,29,-6,356.83,-0.134,2.423,-0.255
ffee,356.83,10,3.072,42,2,356.83,-0.17,3.065,0.107
ffee,356.83,11,7.496,82,10,356.83,-0.408,7.371,1.302
ffee,356.83,12,2.088,75,-13,356.83,-0.113,2.031,-0.47
ffee,356.83,13,2.432,59,-5,356.83,-0.134,2.419,-0.212
ffee,356.83,14,3.08,42,3,356.83,-0.17,3.071,0.161
ffee,356.83,15,7.512,81,11,356.83,-0.408,7.363,1.433
ffee,356.83,16,2.264,47,-12,356.83,-0.122,2.211,-0.471
ffee,356.83,17,2.768,14,-4,356.83,-0.153,2.757,-0.193
ffee,356.83,18,3.084,40,4,356.83,-0.17,3.072,0.215
ffee,356.83,19,7.34,76,12,356.83,-0.397,7.169,1.526
ffee,356.83,20,0.0,0,-11,356.83,-0.0,0.0,-0.0
ffee,356.83,21,2.752,16,-3,356.83,-0.152,2.744,-0.144
ffee,356.83,22,3.08,38,5,356.83,-0.17,3.064,0.268
ffee,356.83,23,7.328,76,13,356.83,-0.395,7.129,1.648
ffee,356.83,24,1.972,4,-10,356.83,-0.107,1.939,-0.342
ffee,356.83,25,2.768,15,-2,356.83,-0.153,2.762,-0.097
ffee,356.83,26,7.416,81,6,356.83,-0.408,7.364,0.775
ffee,356.83,27,7.34,75,14,356.83,-0.394,7.111,1.776
ffee,356.83,28,1.968,4,-9,356.83,-0.107,1.941,-0.308
ffee,356.83,29,2.78,14,-1,356.83,-0.154,2.775,-0.049
ffee,356.83,30,7.428,80,7,356.83,-0.408,7.361,0.905
ffee,356.83,31,7.212,23,15,356.83,-0.385,6.956,1.867
ffee,357.01,0,2.224,3,-16,357.01,-0.112,2.135,-0.613
ffee,357.01,1,0.0,3,-8,357.01,-0.0,0.0,-0.0
ffee,357.01,2,2.792,13,0,357.01,-0.146,2.788,0.0
ffee,357.01,3,7.444,82,8,357.01,-0.385,7.362,1.036
ffee,357.01,4,2.04,76,-15,357.01,-0.103,1.968,-0.528
ffee,357.01,5,2.628,4,-7,357.01,-0.136,2.605,-0.32
ffee,357.01,6,2.868,12,1,357.01,-0.15,2.864,0.05
ffee,357.01,7,7.452,82,9,357.01,-0.384,7.35,1.166
ffee,357.01,8,2.032,76,-14,357.01,-0.103,1.969,-0.492
ffee,357.01,9,2.424,42,-6,357.01,-0.126,2.407,-0.253
ffee,357.01,10,3.104,47,2,357.01,-0.162,3.098,0.108
ffee,357.01,11,7.48,81,10,357.01,-0.384,7.356,1.299
ffee,357.01,12,2.088,70,-13,357.01,-0.106,2.032,-0.47
ffee,357.01,13,2.416,53,-5,357.01,-0.126,2.404,-0.211
ffee,357.01,14,3.108,40,3,357.01,-0.162,3.1,0.163
ffee,357.01,15,7.504,82,11,357.01,-0.384,7.356,1.432
ffee,357.01,16,2.264,49,-12,357.01,-0.116,2.212,-0.471
ffee,357.01,17,2.792,13,-4,357.01,-0.145,2.781,-0.195
ffee,357.01,18,3.096,42,4,357.01,-0.161,3.084,0.216
ffee,357.01,19,7.34,76,12,357.01,-0.375,7.17,1.526
ffee,357.01,20,2.42,35,-11,357.01,-0.124,2.372,-0.462
ffee,357.01,21,2.752,15,-3,357.01,-0.143,2.744,-0.144
ffee,357.01,22,3.092,40,5,357.01,-0.161,3.076,0.269
ffee,357.01,23,7.316,75,13,357.01,-0.372,7.119,1.646
ffee,357.01,24,2.468,4,-10,357.01,-0.127,2.427,-0.429
ffee,357.01,25,2.78,14,-2,357.01,-0.145,2.775,-0.097
ffee,357.01,26,7.412,81,6,357.01,-0.385,7.361,0.775
ffee,357.01,27,7.332,75,14,357.01,-0.371,7.105,1.774
ffee,357.01,28,0.0,0,-9,357.01,-0.0,0.0,-0.0
ffee,357.01,29,2.808,16,-1,357.01,-0.146,2.804,-0.049
ffee,357.01,30,7.42,80,7,357.01,-0.384,7.355,0.904
ffee,357.01,31,7.216,23,15,357.01,-0.364,6.961,1.868
ffee,357.19,0,2.224,3,-16,357.19,-0.105,2.135,-0.613
ffee,357.19,1,2.636,4,-8,357.19,-0.128,2.607,-0.367
ffee,357.19,2,2.86,12,0,357.19,-0.14,2.857,0.0
ffee,357.19,3,7.436,81,8,357.19,-0.361,7.355,1.035
ffee,357.19,4,2.04,76,-15,357.19,-0.097,1.968,-0.528
ffee,357.19,5,2.636,4,-7,357.19,-0.128,2.613,-0.321
ffee,357.19,6,2.892,13,1,357.19,-0.142,2.888,0.05
ffee,357.19,7,7.452,82,9,357.19,-0.361,7.351,1.166
ffee,357.19,8,2.04,76,-14,357.19,-0.097,1.977,-0.494
ffee,357.19,9,2.448,44,-6,357.19,-0.119,2.432,-0.256
ffee,357.19,10,3.132,39,2,357.19,-0.153,3.126,0.109
ffee,357.19,11,7.472,82,10,357.19,-0.361,7.35,1.297
ffee,357.19,12,2.092,72,-13,357.19,-0.1,2.036,-0.471
ffee,357.19,13,2.412,55,-5,357.19,-0.118,2.4,-0.21
ffee,357.19,14,3.124,40,3,357.19,-0.153,3.116,0.163
ffee,357.19,15,7.492,81,11,357.19,-0.361,7.346,1.43
ffee,357.19,16,2.268,48,-12,357.19,-0.109,2.216,-0.472
ffee,357.19,17,2.808,15,-4,357.19,-0.137,2.798,-0.196
ffee,357.19,18,3.12,43,4,357.19,-0.153,3.109,0.218
ffee,357.19,19,7.332,76,12,357.19,-0.352,7.163,1.524
ffee,357.19,20,2.428,30,-11,357.19,-0.117,2.381,-0.463
ffee,357.19,21,2.78,15,-3,357.19,-0.136,2.773,-0.145
ffee,357.19,22,3.132,36,5,357.19,-0.153,3.116,0.273
ffee,357.19,23,7.304,76,13,357.19,-0.349,7.108,1.643
ffee,357.19,24,2.484,16,-10,357.19,-0.12,2.443,-0.431
ffee,357.19,25,2.796,15,-2,357.19,-0.137,2.791,-0.098
ffee,357.19,26,7.396,81,6,357.19,-0.361,7.347,0.773
ffee,357.19,27,7.32,75,14,357.19,-0.348,7.094,1.771
ffee,357.19,28,0.0,0,-9,357.19,-0.0,0.0,-0.0
ffee,357.19,29,2.8,13,-1,357.19,-0.137,2.796,-0.049
ffee,357.19,30,7.408,80,7,357.19,-0.36,7.344,0.903
ffee,357.19,31,7.216,23,15,357.19,-0.342,6.962,1.868
ffee,357.37,0,2.232,4,-16,357.37,-0.098,2.143,-0.615
ffee,357.37,1,0.0,3,-8,357.37,-0.0,0.0,-0.0
ffee,357.37,2,2.872,10,0,357.37,-0.132,2.869,0.0
ffee,357.37,3,7.42,82,8,357.37,-0.337,7.34,1.033
ffee,357.37,4,2.044,76,-15,357.37,-0.091,1.972,-0.529
ffee,357.37,5,2.648,4,-7,357.37,-0.121,2.625,-0.323
ffee,357.37,6,2.868,16,1,357.37,-0.132,2.865,0.05
ffee,357.37,7,7.436,82,9,357.37,-0.337,7.337,1.163
ffee,357.37,8,2.036,76,-14,357.37,-0.091,1.973,-0.493
ffee,357.37,9,2.444,55,-6,357.37,-0.112,2.428,-0.255
ffee,357.37,10,3.164,42,2,357.37,-0.145,3.159,0.11
ffee,357.37,11,7.46,81,10,357.37,-0.337,7.339,1.295
ffee,357.37,12,2.088,68,-13,357.37,-0.093,2.032,-0.47
ffee,357.37,13,2.412,53,-5,357.37,-0.11,2.4,-0.21
ffee,357.37,14,3.16,41,3,357.37,-0.145,3.152,0.165
ffee,357.37,15,7.48,82,11,357.37,-0.337,7.335,1.427
ffee,357.37,16,2.264,48,-12,357.37,-0.102,2.212,-0.471
ffee,357.37,17,2.816,16,-4,357.37,-0.129,2.806,-0.196
ffee,357.37,18,3.16,41,4,357.37,-0.145,3.149,0.22
ffee,357.37,19,7.32,75,12,357.37,-0.329,7.152,1.522
ffee,357.37,20,2.436,29,-11,357.37,-0.11,2.389,-0.465
ffee,357.37,21,2.8,15,-3,357.37,-0.128,2.793,-0.147
ffee,357.37,22,3.168,27,5,357.37,-0.145,3.153,0.276
ffee,357.37,23,7.288,75,13,357.37,-0.326,7.094,1.639
ffee,357.37,24,2.492,4,-10,357.37,-0.113,2.452,-0.433
ffee,357.37,25,2.816,13,-2,357.37,-0.129,2.811,-0.098
ffee,357.37,26,7.388,81,6,357.37,-0.337,7.34,0.772
ffee,357.37,27,7.312,75,14,357.37,-0.326,7.087,1.769
ffee,357.37,28,2.488,13,-9,357.37,-0.113,2.455,-0.389
ffee,357.37,29,2.804,18,-1,357.37,-0.129,2.801,-0.049
ffee,357.37,30,7.4,81,7,357.37,-0.337,7.337,0.902
ffee,357.37,31,7.216,22,15,357.37,-0.32,6.963,1.868
ffee,357.55,0,2.228,3,-16,357.55,-0.092,2.14,-0.614
ffee,357.55,1,2.504,4,-8,357.55,-0.106,2.477,-0.348
ffee,357.55,2,2.88,14,0,357.55,-0.123,2.877,0.0
ffee,357.55,3,7.42,81,8,357.55,-0.314,7.341,1.033
ffee,357.55,4,2.044,75,-15,357.55,-0.084,1.973,-0.529
ffee,357.55,5,2.64,4,-7,357.55,-0.112,2.618,-0.322
ffee,357.55,6,2.884,11,1,357.55,-0.123,2.881,0.05
ffee,357.55,7,7.428,82,9,357.55,-0.314,7.33,1.162
ffee,357.55,8,2.04,76,-14,357.55,-0.085,1.978,-0.494
ffee,357.55,9,2.436,61,-6,357.55,-0.104,2.42,-0.255
ffee,357.55,10,3.184,16,2,357.55,-0.136,3.179,0.111
ffee,357.55,11,7.444,82,10,357.55,-0.313,7.324,1.293
ffee,357.55,12,2.088,72,-13,357.55,-0.087,2.033,-0.47
ffee,357.55,13,2.412,53,-5,357.55,-0.103,2.401,-0.21
ffee,357.55,14,3.18,14,3,357.55,-0.136,3.173,0.166
ffee,357.55,15,7.468,81,11,357.55,-0.313,7.324,1.425
ffee,357.55,16,2.264,53,-12,357.55,-0.095,2.213,-0.471
ffee,357.55,17,2.776,62,-4,357.55,-0.118,2.767,-0.194
ffee,357.55,18,3.184,37,4,357.55,-0.136,3.173,0.222
ffee,357.55,19,7.308,75,12,357.55,-0.306,7.142,1.519
ffee,357.55,20,2.432,32,-11,357.55,-0.102,2.385,-0.464
ffee,357.55,21,2.824,13,-3,357.55,-0.121,2.818,-0.148
ffee,357.55,22,3.18,4,5,357.55,-0.135,3.165,0.277
ffee,357.55,23,7.284,76,13,357.55,-0.303,7.091,1.639
ffee,357.55,24,2.492,4,-10,357.55,-0.105,2.452,-0.433
ffee,357.55,25,2.832,14,-2,357.55,-0.121,2.828,-0.099
ffee,357.55,26,7.38,80,6,357.55,-0.314,7.333,0.771
ffee,357.55,27,7.296,75,14,357.55,-0.303,7.073,1.765
ffee,357.55,28,2.496,4,-9,357.55,-0.105,2.463,-0.39
ffee,357.55,29,2.884,15,-1,357.55,-0.123,2.881,-0.05
ffee,357.55,30,7.392,81,7,357.55,-0.314,7.33,0.901
ffee,357.55,31,7.212,24,15,357.55,-0.298,6.96,1.867
ffee,357.73,0,2.232,3,-16,357.73,-0.085,2.144,-0.615
ffee,357.73,1,2.5,4,-8,357.73,-0.098,2.474,-0.348
ffee,357.73,2,2.912,12,0,357.73,-0.115,2.91,0.0
ffee,357.73,3,7.404,82,8,357.73,-0.29,7.326,1.03
ffee,357.73,4,2.052,75,-15,357.73,-0.079,1.981,-0.531
ffee,357.73,5,2.48,4,-7,357.73,-0.097,2.46,-0.302
ffee,357.73,6,0.0,0,1,357.73,-0.0,0.0,0.0
ffee,357.73,7,7.416,82,9,357.73,-0.29,7.319,1.16
ffee,357.73,8,2.04,76,-14,357.73,-0.078,1.978,-0.494
ffee,357.73,9,2.432,69,-6,357.73,-0.096,2.417,-0.254
ffee,357.73,10,3.304,75,2,357.73,-0.131,3.299,0.115
ffee,357.73,11,7.444,81,10,357.73,-0.29,7.325,1.293
ffee,357.73,12,2.092,66,-13,357.73,-0.081,2.037,-0.471
ffee,357.73,13,2.408,53,-5,357.73,-0.095,2.397,-0.21
ffee,357.73,14,3.296,74,3,357.73,-0.13,3.289,0.172
ffee,357.73,15,7.464,82,11,357.73,-0.29,7.321,1.424
ffee,357.73,16,2.264,51,-12,357.73,-0.088,2.213,-0.471
ffee,357.73,17,2.748,76,-4,357.73,-0.109,2.739,-0.192
ffee,357.73,18,3.288,76,4,357.73,-0.13,3.277,0.229
ffee,357.73,19,7.304,75,12,357.73,-0.283,7.139,1.519
ffee,357.73,20,2.428,32,-11,357.73,-0.094,2.382,-0.463
ffee,357.73,21,2.86,13,-3,357.73,-0.113,2.854,-0.15
ffee,357.73,22,7.352,79,5,357.73,-0.29,7.318,0.641
ffee,357.73,23,7.272,76,13,357.73,-0.281,7.08,1.636
ffee,357.73,24,2.5,4,-10,357.73,-0.098,2.46,-0.434
ffee,357.73,25,0.0,0,-2,357.73,-0.0,0.0,-0.0
ffee,357.73,26,7.364,81,6,357.73,-0.29,7.318,0.77
ffee,357.73,27,7.292,76,14,357.73,-0.28,7.07,1.764
ffee,357.73,28,2.496,4,-9,357.73,-0.098,2.463,-0.39
ffee,357.73,29,2.888,20,-1,357.73,-0.114,2.885,-0.05
ffee,357.73,30,7.376,81,7,357.73,-0.29,7.315,0.899
ffee,357.73,31,7.212,23,15,357.73,-0.276,6.961,1.867
ffee,357.91,0,2.228,3,-16,357.91,-0.078,2.14,-0.614
ffee,357.91,1,2.5,4,-8,357.91,-0.09,2.474,-0.348
ffee,357.91,2,2.94,52,0,357.91,-0.107,2.938,0.0
ffee,357.91,3,7.4,81,8,357.91,-0.267,7.323,1.03
ffee,357.91,4,2.048,75,-15,357.91,-0.072,1.977,-0.53
ffee,357.91,5,2.488,4,-7,357.91,-0.09,2.468,-0.303
ffee,357.91,6,0.0,0,1,357.91,-0.0,0.0,0.0
ffee,357.91,7,7.412,83,9,357.91,-0.267,7.316,1.159
ffee,357.91,8,2.044,76,-14,357.91,-0.072,1.982,-0.494
ffee,357.91,9,2.432,72,-6,357.91,-0.088,2.417,-0.254
ffee,357.91,10,3.308,76,2,357.91,-0.121,3.304,0.115
ffee,357.91,11,7.436,82,10,357.91,-0.267,7.318,1.291
ffee,357.91,12,2.092,65,-13,357.91,-0.074,2.037,-0.471
ffee,357.91,13,2.4,52,-5,357.91,-0.087,2.389,-0.209
ffee,357.91,14,3.296,75,3,357.91,-0.12,3.289,0.172
ffee,357.91,15,7.448,81,11,357.91,-0.267,7.306,1.421
ffee,357.91,16,2.26,41,-12,357.91,-0.081,2.209,-0.47
ffee,357.91,17,2.756,77,-4,357.91,-0.1,2.747,-0.192
ffee,357.91,18,3.28,77,4,357.91,-0.119,3.27,0.229
ffee,357.91,19,7.3,42,12,357.91,-0.26,7.136,1.518
ffee,357.91,20,2.428,30,-11,357.91,-0.087,2.382,-0.463
ffee,357.91,21,2.884,13,-3,357.91,-0.105,2.878,-0.151
ffee,357.91,22,7.348,80,5,357.91,-0.267,7.315,0.64
ffee,357.91,23,7.26,74,13,357.91,-0.258,7.069,1.633
ffee,357.91,24,2.512,3,-10,357.91,-0.09,2.472,-0.436
ffee,357.91,25,0.0,0,-2,357.91,-0.0,0.0,-0.0
ffee,357.91,26,7.352,81,6,357.91,-0.267,7.307,0.768
ffee,357.91,27,7.28,74,14,357.91,-0.258,7.059,1.761
ffee,357.91,28,2.484,3,-9,357.91,-0.089,2.452,-0.389
ffee,357.91,29,2.912,44,-1,357.91,-0.106,2.91,-0.051
ffee,357.91,30,7.368,81,7,357.91,-0.267,7.308,0.898
ffee,357.91,31,7.208,24,15,357.91,-0.254,6.958,1.866
ffee,358.09,0,2.236,3,-16,358.09,-0.072,2.148,-0.616
ffee,358.09,1,2.492,4,-8,358.09,-0.082,2.466,-0.347
ffee,358.09,2,3.256,50,0,358.09,-0.109,3.254,0.0
ffee,358.09,3,7.38,82,8,358.09,-0.244,7.304,1.027
ffee,358.09,4,2.052,75,-15,358.09,-0.066,1.981,-0.531
ffee,358.09,5,2.492,4,-7,358.09,-0.082,2.472,-0.304
ffee,358.09,6,3.304,48,1,358.09,-0.11,3.302,0.058
ffee,358.09,7,7.404,83,9,358.09,-0.244,7.309,1.158
ffee,358.09,8,2.048,76,-14,358.09,-0.066,1.986,-0.495
ffee,358.09,9,2.428,75,-6,358.09,-0.08,2.413,-0.254
ffee,358.09,10,3.296,49,2,358.09,-0.11,3.292,0.115
ffee,358.09,11,7.42,82,10,358.09,-0.244,7.303,1.288
ffee,358.09,12,2.092,67,-13,358.09,-0.068,2.037,-0.471
ffee,358.09,13,2.404,52,-5,358.09,-0.08,2.394,-0.21
ffee,358.09,14,3.312,45,3,358.09,-0.11,3.306,0.173
ffee,358.09,15,7.44,82,11,358.09,-0.243,7.299,1.42
ffee,358.09,16,2.264,54,-12,358.09,-0.074,2.213,-0.471
ffee,358.09,17,2.752,77,-4,358.09,-0.091,2.744,-0.192
ffee,358.09,18,3.308,50,4,358.09,-0.11,3.298,0.231
ffee,358.09,19,7.284,60,12,358.09,-0.237,7.121,1.514
ffee,358.09,20,2.432,31,-11,358.09,-0.08,2.386,-0.464
ffee,358.09,21,0.0,0,-3,358.09,-0.0,0.0,-0.0
ffee,358.09,22,7.344,80,5,358.09,-0.244,7.312,0.64
ffee,358.09,23,7.3,39,13,358.09,-0.237,7.109,1.642
ffee,358.09,24,0.0,3,-10,358.09,-0.0,0.0,-0.0
ffee,358.09,25,0.0,0,-2,358.09,-0.0,0.0,-0.0
ffee,358.09,26,7.344,81,6,358.09,-0.243,7.3,0.768
ffee,358.09,27,7.332,37,14,358.09,-0.237,7.11,1.774
ffee,358.09,28,2.488,5,-9,358.09,-0.082,2.456,-0.389
ffee,358.09,29,0.0,0,-1,358.09,-0.0,0.0,-0.0
ffee,358.09,30,7.356,80,7,358.09,-0.243,7.297,0.896
ffee,358.09,31,7.208,23,15,358.09,-0.232,6.959,1.866
ffee,358.27,0,2.248,3,-16,358.27,-0.065,2.16,-0.62
ffee,358.27,1,2.484,3,-8,358.27,-0.074,2.459,-0.346
ffee,358.27,2,3.328,44,0,358.27,-0.1,3.326,0.0
