FrameNumbers,Laser_ID,Points_X,Points_Y,Points_Z,Azimuth,Distance,Intensity,Distance_2,Intensity_2,
1,3,0.0512133,-2.16132,-0.491293,178.974,2.184,58,0,0,
1,11,0.0650683,-2.95004,-0.255192,178.979,2.928,77,0,0,
1,19,0.0644964,-2.93321,0.151984,178.984,2.904,76,0,0,
1,4,0.0524783,-2.27913,-0.477365,178.995,2.296,37,0,0,
1,12,0.063835,-2.9421,-0.20341,179,2.916,77,0,0,
1,5,0.0554777,-2.50306,-0.480075,179.016,2.516,26,0,0,
1,13,0.0626609,-2.93724,-0.152193,179.022,2.908,76,0,0,
1,6,0.0632858,-3.02311,-0.527196,179.038,3.036,77,0,0,
1,14,0.0616082,-2.93948,-0.101488,179.043,2.908,77,0,0,
1,7,0.063412,-3.09903,-0.485573,179.059,3.104,19,0,0,
1,15,0.0606048,-2.94483,-0.0508214,179.064,2.912,75,0,0,
1,0,0.0471161,-2.15586,-0.608607,179.08,2.208,74,0,0,
1,8,0.0471678,-2.17237,-0.300614,179.086,2.16,78,0,0,
1,16,0.0591516,-2.9413,0,179.091,2.908,77,0,0,
1,1,0.0461885,-2.15072,-0.567331,179.103,2.192,63,0,0,
1,9,0.0478747,-2.27258,-0.274937,179.108,2.256,76,0,0,
1,17,0.058175,-2.95288,0.050961,179.114,2.92,76,0,0,
1,2,0.0454312,-2.15643,-0.529325,179.125,2.188,75,0,0,
1,10,0.0534477,-2.69869,-0.280136,179.131,2.68,43,0,0,
1,18,0.0567546,-2.93558,0.101348,179.136,2.904,77,0,0,
1,3,0.0446014,-2.15757,-0.490393,179.147,2.18,59,0,0,
1,11,0.056224,-2.95819,-0.255889,179.153,2.936,77,0,0,
1,19,0.0556277,-2.93738,0.152193,179.159,2.908,75,0,0,
1,4,0.0453467,-2.26754,-0.47487,179.17,2.284,21,0,0,
1,12,0.0547753,-2.93829,-0.203131,179.176,2.912,78,0,0,
1,5,0.0478328,-2.50714,-0.480839,179.193,2.52,26,0,0,
1,13,0.0537212,-2.94541,-0.152612,179.198,2.916,76,0,0,
1,6,0.0541904,-3.04298,-0.530669,179.215,3.056,76,0,0,
1,14,0.0524856,-2.93966,-0.101488,179.221,2.908,77,0,0,
1,7,0.0535862,-3.08736,-0.483695,179.237,3.092,20,0,0,
1,15,0.0514021,-2.945,-0.0508214,179.243,2.912,76,0,0,
1,0,0.0403433,-2.15599,-0.608607,179.26,2.208,72,0,0,
1,8,0.0403431,-2.17251,-0.300614,179.266,2.16,77,0,0,
1,16,0.0499113,-2.94147,0,179.271,2.908,77,0,0,
1,1,0.0394802,-2.15472,-0.568367,179.283,2.196,67,0,0,
1,9,0.0407353,-2.27272,-0.274937,179.288,2.256,76,0,0,
1,17,0.0487997,-2.94505,0.0508214,179.294,2.912,76,0,0,
1,2,0.0387508,-2.16433,-0.53126,179.305,2.196,75,0,0,
1,10,0.0448739,-2.69089,-0.2793,179.311,2.672,43,0,0,
1,18,0.0475793,-2.93974,0.101488,179.316,2.908,77,0,0,
1,3,0.0378226,-2.1577,-0.490393,179.327,2.18,60,0,0,
1,11,0.0468371,-2.95038,-0.255192,179.333,2.928,76,0,0,
1,19,0.0463997,-2.93754,0.152193,179.339,2.908,76,0,0,
1,4,0.0383113,-2.27549,-0.476534,179.35,2.292,32,0,0,
1,12,0.0455445,-2.93845,-0.203131,179.356,2.912,77,0,0,
1,5,0.0399565,-2.50728,-0.480839,179.372,2.52,26,0,0,
1,13,0.0444673,-2.94556,-0.152612,179.378,2.916,76,0,0,
1,6,0.0442971,-3.01163,-0.525112,179.395,3.024,76,0,0,
1,14,0.0432506,-2.93981,-0.101488,179.401,2.908,77,0,0,
1,7,0.0438461,-3.08356,-0.48307,179.417,3.088,22,0,0,
1,15,0.0420689,-2.93715,-0.0506818,179.423,2.904,75,0,0,
1,0,0.0335696,-2.15611,-0.608607,179.44,2.208,73,0,0,
1,8,0.0335175,-2.17263,-0.300614,179.446,2.16,77,0,0,
1,16,0.0406698,-2.94161,0,179.451,2.908,77,0,0,
1,1,0.0326743,-2.15097,-0.567331,179.463,2.192,65,0,0,
1,9,0.0335211,-2.2649,-0.273962,179.468,2.248,76,0,0,
1,17,0.039547,-2.94519,0.0508214,179.474,2.912,76,0,0,
1,2,0.031916,-2.16056,-0.530293,179.485,2.192,75,0,0,
1,10,0.036455,-2.69499,-0.279718,179.491,2.676,43,0,0,
1,18,0.038308,-2.93588,0.101348,179.496,2.904,77,0,0,
1,3,0.0310436,-2.15781,-0.490393,179.508,2.18,60,0,0,
1,11,0.0376014,-2.9545,-0.255541,179.513,2.932,76,0,0,
1,19,0.0371705,-2.93767,0.152193,179.519,2.908,76,0,0,
1,4,0.0311627,-2.2756,-0.476534,179.53,2.292,31,0,0,
1,12,0.0363448,-2.94257,-0.20341,179.536,2.916,78,0,0,
1,5,0.0320178,-2.49954,-0.479312,179.553,2.512,27,0,0,
1,13,0.0352745,-2.95368,-0.15303,179.558,2.924,76,0,0,
1,6,0.0348352,-3.01175,-0.525112,179.575,3.024,75,0,0,
1,14,0.0340436,-2.94392,-0.101627,179.581,2.912,77,0,0,
1,7,0.0342692,-3.09949,-0.485573,179.598,3.104,18,0,0,
1,15,0.0328409,-2.93727,-0.0506818,179.603,2.904,77,0,0,
1,0,0.0268216,-2.16005,-0.60971,179.62,2.212,74,0,0,
1,8,0.0266921,-2.17272,-0.300614,179.626,2.16,78,0,0,
1,16,0.0314286,-2.94173,0,179.631,2.908,77,0,0,
1,1,0.0259169,-2.15106,-0.567331,179.643,2.192,63,0,0,
1,9,0.0264058,-2.26499,-0.273962,179.648,2.248,76,0,0,
1,17,0.0303187,-2.9493,0.0508912,179.654,2.916,76,0,0,
1,2,0.0251512,-2.16453,-0.53126,179.665,2.196,74,0,0,
1,10,0.0279429,-2.68714,-0.278882,179.671,2.668,44,0,0,
1,18,0.0291075,-2.93998,0.101488,179.676,2.908,77,0,0,
