FrameNumbers,Laser_ID,Points_X,Points_Y,Points_Z,Azimuth,Distance,Intensity,Distance_2,Intensity_2,
1,5,-1.94925,-0.377063,-0.379328,169.413,1.988,55,0,0,
1,6,-1.95174,-0.376735,-0.344518,169.435,1.984,39,0,0,
1,7,-1.96139,-0.377737,-0.310992,169.457,1.988,47,0,0,
1,0,-1.96659,-0.377905,-0.564505,169.48,2.048,59,0,0,
1,8,-1.93546,-0.371927,-0.272223,169.486,1.956,54,0,0,
1,1,-1.96473,-0.376761,-0.526956,169.503,2.036,59,0,0,
1,9,-1.88533,-0.361857,-0.231552,169.508,1.9,30,0,0,
1,2,-1.96218,-0.37549,-0.48965,169.525,2.024,64,0,0,
1,10,-2.18647,-0.416736,-0.230381,169.531,2.204,3,0,0,
1,3,-1.96661,-0.375508,-0.454401,169.548,2.02,60,0,0,
1,11,-2.22553,-0.423048,-0.195229,169.553,2.24,1,0,0,
1,4,-1.95502,-0.372576,-0.415823,169.57,2,51,0,0,
1,12,-2.19731,-0.416954,-0.154022,169.576,2.208,3,0,0,
1,5,-1.95429,-0.371647,-0.380092,169.592,1.992,55,0,0,
1,6,-1.95679,-0.371311,-0.345213,169.615,1.988,38,0,0,
1,7,-1.96645,-0.372284,-0.311617,169.637,1.992,45,0,0,
1,0,-1.95264,-0.368964,-0.560095,169.66,2.032,18,0,0,
1,8,-1.93272,-0.365134,-0.271666,169.666,1.952,57,0,0,
1,1,-1.96591,-0.370587,-0.526956,169.682,2.036,57,0,0,
1,9,-1.89427,-0.357354,-0.232527,169.688,1.908,27,0,0,
1,2,-1.96335,-0.369324,-0.48965,169.705,2.024,64,0,0,
1,10,-2.14863,-0.402759,-0.2262,169.711,2.164,4,0,0,
1,3,-1.96394,-0.368633,-0.453501,169.728,2.016,63,0,0,
1,11,-2.20724,-0.412504,-0.193486,169.733,2.22,1,0,0,
1,4,-1.96388,-0.367825,-0.417487,169.75,2.008,49,0,0,
1,12,-2.17505,-0.405791,-0.152348,169.756,2.184,4,0,0,
1,5,-1.95544,-0.365506,-0.380092,169.772,1.992,55,0,0,
1,13,-2.22861,-0.414565,-0.117023,169.778,2.236,1,0,0,
1,6,-1.96182,-0.36586,-0.345907,169.795,1.992,39,0,0,
1,7,-1.96761,-0.366104,-0.311617,169.818,1.992,46,0,0,
1,8,-1.93776,-0.359749,-0.272223,169.846,1.956,56,0,0,
1,1,-1.97468,-0.365726,-0.529026,169.864,2.044,57,0,0,
1,9,-1.8954,-0.351349,-0.232527,169.87,1.908,28,0,0,
1,2,-1.97216,-0.364431,-0.491585,169.887,2.032,64,0,0,
1,10,-2.14207,-0.394506,-0.225363,169.893,2.156,4,0,0,
1,3,-1.97279,-0.363698,-0.455301,169.911,2.024,61,0,0,
1,11,-2.24386,-0.411689,-0.196623,169.917,2.256,3,0,0,
1,4,-1.96506,-0.361482,-0.417487,169.935,2.008,52,0,0,
1,12,-2.18421,-0.400148,-0.152906,169.941,2.192,4,0,0,
1,5,-1.96049,-0.359832,-0.380855,169.959,1.996,54,0,0,
1,13,-2.20241,-0.402433,-0.115558,169.965,2.208,2,0,0,
1,6,-1.96301,-0.359438,-0.345907,169.982,1.992,39,0,0,
1,7,-1.9727,-0.360305,-0.312243,170.006,1.996,47,0,0,
1,8,-1.93894,-0.353331,-0.272223,170.036,1.956,57,0,0,
1,1,-1.97587,-0.359219,-0.529026,170.053,2.044,55,0,0,
1,9,-1.90045,-0.345799,-0.233014,170.058,1.912,27,0,0,
1,2,-1.97717,-0.358644,-0.492553,170.075,2.036,62,0,0,
1,10,-2.14335,-0.387505,-0.225363,170.081,2.156,4,0,0,
1,3,-1.9778,-0.357954,-0.456201,170.098,2.028,60,0,0,
1,11,-2.17845,-0.392762,-0.190697,170.103,2.188,3,0,0,
1,4,-1.96621,-0.355135,-0.417487,170.12,2.008,53,0,0,
1,12,-2.18942,-0.393789,-0.153185,170.126,2.196,4,0,0,
1,5,-1.9655,-0.354215,-0.381618,170.143,2,55,0,0,
1,13,-2.21156,-0.396747,-0.115976,170.148,2.216,2,0,0,
1,6,-1.96802,-0.353856,-0.346602,170.165,1.996,38,0,0,
1,7,-1.97772,-0.354737,-0.312869,170.188,2,46,0,0,
1,8,-1.95175,-0.349257,-0.273893,170.216,1.968,55,0,0,
1,1,-1.9808,-0.353665,-0.530061,170.233,2.048,59,0,0,
1,9,-1.90153,-0.339827,-0.233014,170.238,1.912,27,0,0,
1,2,-1.97828,-0.352431,-0.492553,170.255,2.036,67,0,0,
1,10,-2.14455,-0.380769,-0.225363,170.261,2.156,4,0,0,
1,3,-1.97507,-0.35108,-0.455301,170.278,2.024,62,0,0,
1,11,-2.21895,-0.392642,-0.194183,170.283,2.228,3,0,0,
1,4,-1.97118,-0.349615,-0.418318,170.3,2.012,51,0,0,
1,12,-2.19065,-0.386909,-0.153185,170.306,2.196,4,0,0,
1,5,-1.97047,-0.348698,-0.382381,170.323,2.004,53,0,0,
1,13,-2.20492,-0.388455,-0.115558,170.328,2.208,5,0,0,
1,6,-1.97301,-0.348332,-0.347296,170.345,2,37,0,0,
1,7,-1.98272,-0.349183,-0.313495,170.368,2.004,45,0,0,
1,0,-1.79795,-0.317097,-0.513788,170.39,1.864,1,0,0,
1,8,-1.95284,-0.343124,-0.273893,170.396,1.968,57,0,0,
1,1,-1.9819,-0.34744,-0.530061,170.413,2.048,56,0,0,
1,9,-1.9065,-0.334512,-0.233502,170.418,1.916,27,0,0,
1,2,-1.98703,-0.347504,-0.494488,170.435,2.044,65,0,0,
1,10,-2.13789,-0.372709,-0.224527,170.441,2.148,13,0,0,
1,3,-1.98385,-0.346166,-0.457101,170.458,2.032,60,0,0,
1,11,-2.21232,-0.384348,-0.193486,170.463,2.22,3,0,0,
1,4,-1.97612,-0.344068,-0.41915,170.48,2.016,51,0,0,
1,12,-2.18792,-0.379365,-0.152906,170.486,2.192,4,0,0,
1,5,-1.97156,-0.342506,-0.382381,170.503,2.004,54,0,0,
1,13,-2.20613,-0.381526,-0.115558,170.508,2.208,2,0,0,
1,6,-1.97409,-0.342132,-0.347296,170.525,2,37,0,0,
1,7,-1.98381,-0.342952,-0.313495,170.548,2.004,47,0,0,
1,0,-1.77998,-0.308297,-0.508275,170.57,1.844,2,0,0,
1,8,-1.95391,-0.336987,-0.273893,170.576,1.968,53,0,0,
1,1,-1.98679,-0.341844,-0.531097,170.592,2.052,56,0,0,
1,9,-1.90754,-0.328521,-0.233502,170.598,1.916,27,0,0,
1,2,-1.98812,-0.34126,-0.494488,170.615,2.044,60,0,0,
1,10,-2.14298,-0.366639,-0.224945,170.621,2.152,19,0,0,
1,3,-1.98493,-0.339932,-0.457101,170.638,2.032,62,0,0,
1,11,-2.19779,-0.374805,-0.192091,170.643,2.204,3,0,0,
